cntry_code,year,district,incidence,cases,pop,index,skip,id,vacc_pop_coverage,vacc_pop_cumsum,vacc_used,fvp,fullDistrict_target
TCD,2025,Chad_Mayo-Kebbi Est_Kabbia,0.0015440608542087563,591.3462723111172,382981.195785932,32,FALSE,1,521311.69404291234,521311.69404291234,521311.69404291234,260655.84702145617,TRUE
SOM,2025,Somalia_Bay_Diinsoor,0.0015215327078722072,205.17664805843316,134848.66082528266,19,FALSE,2,183555.18387785155,704866.8779207639,183555.18387785155,91777.59193892578,TRUE
ZMB,2025,Zambia_Northern_Kaputa,0.0014846615715191926,303.2890415367043,204281.60016720925,48,FALSE,3,278066.8821779176,982933.7600986814,278066.8821779176,139033.4410889588,TRUE
SOM,2025,Somalia_Bay_Baydhabo,0.0014778597548749436,902.299108619759,610544.4753085596,17,FALSE,4,831069.4577536169,1814003.2178522984,831069.4577536169,415534.7288768084,TRUE
KEN,2025,Kenya_Garissa_Fafi,0.0013984625467172043,232.96196611617083,166584.3441163535,41,FALSE,5,226753.60458392944,2040756.8224362277,226753.60458392944,113376.80229196472,TRUE
AGO,2025,Angola_Cunene_Namakunde,0.001393105329073288,325.62384498949586,233739.57316357776,66,FALSE,6,318164.8973671305,2358921.7198033584,318164.8973671305,159082.44868356525,TRUE
CMR,2025,Cameroon_Sud-Ouest_Fako,0.0013687281077271168,1028.3128638249254,751290.8210327628,49,FALSE,7,1022652.5347484611,3381574.2545518195,1022652.5347484611,511326.26737423055,TRUE
TZA,2025,Tanzania_Simiyu_Lake Victoria,0.0013543352232044327,61.92876619395033,45726.32028828388,152,FALSE,8,62242.39141275794,3443816.6459645773,62242.39141275794,31121.19570637897,TRUE
TCD,2025,Chad_Mayo-Kebbi Est_Mont Illi,0.0013283118549048559,567.637175895044,427337.2806235345,34,FALSE,9,581688.9292237397,4025505.575188317,581688.9292237397,290844.46461186983,TRUE
SOM,2025,Somalia_Shabeellaha Hoose_Afgooye,0.0013258944279662236,912.6270009462387,688310.4579797565,57,FALSE,10,936924.0443790487,4962429.619567365,936924.0443790487,468462.0221895244,TRUE
KEN,2025,Kenya_West Pokot_Sigor,0.0012329777993458067,140.14763772769766,113665.98636411554,300,FALSE,11,154721.4551485618,5117151.074715927,154721.4551485618,77360.7275742809,TRUE
GHA,2025,Ghana_Central_Awutu Efutu Senya,0.0012182324283248527,555.0608216713006,455628.01380566147,46,FALSE,12,620198.1046171295,5737349.179333057,620198.1046171295,310099.0523085648,TRUE
NER,2025,Niger_Tillabéry_Tillabéry,0.0012064213803967092,642.4195469655845,532500.1342021448,31,FALSE,13,724835.9713048744,6462185.150637931,724835.9713048744,362417.9856524372,TRUE
SOM,2025,Somalia_Gedo_Dolow,0.0011894941151957637,25.792373551038985,21683.481424196998,29,FALSE,14,29515.424147128273,6491700.574785059,29515.424147128273,14757.712073564137,TRUE
SDN,2025,Sudan_South Kurdufan_Talodi,0.0011836646138731377,374.0643392916015,316022.2371332061,70,FALSE,15,430167.5633370463,6921868.138122106,430167.5633370463,215083.78166852315,TRUE
TCD,2025,Chad_Tandjilé_Tandjilé Est,0.0011764612856420933,536.0098329585228,455611.96063156246,49,FALSE,16,620176.2531333586,7542044.391255464,620176.2531333586,310088.1265666793,TRUE
