cntry_code,year,district,incidence,cases,pop,index,skip,id,vacc_pop_coverage,vacc_pop_cumsum,vacc_used,fvp,fullDistrict_target
TCD,2029,Chad_Mayo-Kebbi Est_Mayo-Boneye,0.002873388059602986,1611.4034007845257,560802.5673382843,33,FALSE,1,763361.0726051067,763361.0726051067,763361.0726051067,381680.5363025534,TRUE
COD,2029,Democratic Republic of the Congo_Orientale_Ituri,2.2696727663203782e-4,1591.5238107719679,7012128.948227926,36,FALSE,2,9544867.635985177,10308228.708590284,9544867.635985177,4772433.8179925885,TRUE
GIN,2029,Guinea_Conakry_Conakry,5.988587511951154e-4,1462.7433599645956,2442551.531634905,6,FALSE,3,3324786.414462586,13633015.123052869,3324786.414462586,1662393.207231293,TRUE
ZMB,2029,Zambia_Lusaka_Lusaka,4.606545275859875e-4,1436.7663058852277,3118967.0780279813,34,FALSE,4,4245519.176924992,17878534.29997786,4245519.176924992,2122759.588462496,TRUE
KEN,2029,Kenya_Migori_Nyatike,0.0027900655553478367,1399.7129063829102,501677.4260733843,172,FALSE,5,682880.2868838153,18561414.586861677,682880.2868838153,341440.14344190765,TRUE
TCD,2029,Chad_Hadjer-Lamis_Dagana,0.003683219338397939,1396.4118500655663,379128.072962647,16,FALSE,6,516066.8464930476,19077481.433354724,516066.8464930476,258033.4232465238,TRUE
COD,2029,Democratic Republic of the Congo_Bandundu_Mai-Ndombe,5.160444490351616e-4,1312.0077528027427,2542431.6747438684,10,FALSE,7,3460742.6629111026,22538224.096265826,3460742.6629111026,1730371.3314555513,TRUE
SOM,2029,Somalia_Jubbada Hoose_Kismaayo,0.004149822883976707,1303.4242008435754,314091.5256591688,41,FALSE,8,427539.49052221,22965763.586788036,427539.49052221,213769.745261105,TRUE
GHA,2029,Ghana_Greater Accra_Dangbe East,0.00606266399005172,1254.8457704238974,206979.2705785749,71,FALSE,9,281738.93487291347,23247502.52166095,281738.93487291347,140869.46743645673,TRUE
CMR,2029,Cameroon_Extrême-Nord_Mayo Danay,0.0011694243892833064,1248.1035779101583,1067280.269975446,22,FALSE,10,1452775.4669983047,24700277.988659255,1452775.4669983047,726387.7334991524,TRUE
SSD,2029,South Sudan_Upper Nile_Tonga,0.0027867185628425188,1243.1253399622094,446089.3024999956,35,FALSE,11,607214.068313367,25307492.056972623,607214.068313367,303607.0341566835,TRUE
ETH,2029,Ethiopia_Tigray_Mehakelegnaw,4.816192086631565e-4,1189.1877462625457,2469145.177085869,75,FALSE,12,3360985.5242710155,28668477.581243638,3360985.5242710155,1680492.7621355078,TRUE
CMR,2029,Cameroon_Sud-Ouest_Fako,0.0013687260562442738,1137.2220238576544,830861.6751098781,49,FALSE,13,1130963.9014469148,29799441.482690554,1130963.9014469148,565481.9507234574,TRUE
ETH,2029,Ethiopia_Amhara_Mirab Gojjam,2.189078125765026e-4,1103.6074275741137,5041425.495896504,11,FALSE,14,6862357.981476321,36661799.46416687,6862357.981476321,3431178.9907381604,TRUE
SOM,2029,Somalia_Mudug_Xarardheere,0.00850452863428802,1090.0969387925315,128178.40772474415,46,FALSE,15,174475.67558397606,36836275.13975085,174475.67558397606,87237.83779198803,TRUE
TZA,2029,Tanzania_Dar es Salaam_Kinondoni,2.5449309378883e-4,682.507245936276,2681830.126606886,11,FALSE,16,3650490.9949109014,40486766.13466175,3650490.9949109014,1825245.4974554507,TRUE
SLE,2029,Sierra Leone_Southern_Pujehun,0.0016156018799190176,680.6682128943304,421309.3716680059,12,FALSE,17,573483.7759062396,41060249.91056799,573483.7759062396,286741.8879531198,TRUE
TCD,2029,Chad_Mayo-Kebbi Est_Kabbia,0.0015440683701428383,676.8112565494348,438329.8496599762,32,FALSE,18,596651.9479027931,41656901.85847078,596651.9479027931,298325.97395139653,TRUE
ETH,2029,Ethiopia_Tigray_Misraqawi,4.307526484191159e-4,669.1168908530108,1553366.8645072847,77,FALSE,19,2114433.6080120555,43771335.46648284,2114433.6080120555,1057216.8040060278,TRUE
SOM,2029,Somalia_Shabeellaha Hoose_Marka,0.0017890184053002754,651.0858278303792,363934.672724118,60,FALSE,20,495385.68171584344,44266721.14819869,495385.68171584344,247692.84085792172,TRUE
