cntry_code,year,district,wat,san,wash,pop,index,skip,id,vacc_pop_coverage,vacc_pop_cumsum,vacc_used,fvp,fullDistrict_target
TCD,2021,Chad_Salamat_Barh Azoum,0.5406765672998849,0.9969497369665593,0.9985999494008835,283813.53221726633,1,FALSE,1,386325.2684478683,386325.2684478683,386325.2684478683,193162.63422393415,TRUE
TCD,2021,Chad_Salamat_Aboudeïa,0.5426880420872796,0.9969487180500451,0.998606216321662,102027.158171682,2,FALSE,2,138878.7524037948,525204.0208516631,138878.7524037948,69439.3762018974,TRUE
TCD,2021,Chad_Batha_Batha Est,0.7333632430548209,0.996096324848769,0.998958791948178,286571.44535337697,3,FALSE,3,390079.3231764787,915283.3440281418,390079.3231764787,195039.66158823934,TRUE
TCD,2021,Chad_Batha_Fitri,0.7324030870054768,0.9960828905081938,0.9989500833852454,210354.55557096426,4,FALSE,4,286333.35244907986,1201616.6964772216,286333.35244907986,143166.67622453993,TRUE
TCD,2021,Chad_Lac_Mamdi,0.7892639364209543,0.995738235792294,0.9989144064256751,360323.73937948473,5,FALSE,5,490470.50102373713,1692087.1975009588,490470.50102373713,245235.25051186857,TRUE
TCD,2021,Chad_Batha_Batha Oues,0.7309984009529286,0.9956612545815371,0.9987634597283386,305246.27301586734,6,FALSE,6,415499.3859675874,2107586.583468546,415499.3859675874,207749.6929837937,TRUE
NER,2021,Niger_Tillabéry_Ouallam,0.5577845958406381,0.9956136042333902,0.9980291378998276,610342.0071979903,1,FALSE,7,830793.8593825429,2938380.442851089,830793.8593825429,415396.92969127145,TRUE
TCD,2021,Chad_Kanem_Nokou,0.49897671948327055,0.9955423294589443,0.9977644034533509,152189.92504186864,7,FALSE,8,207160.0081487727,3145540.4509998616,207160.0081487727,103580.00407438635,TRUE
TCD,2021,Chad_Kanem_Kanem,0.4985821436156662,0.9954708339495619,0.9977239567201243,400682.85391847685,8,FALSE,9,545407.0843387939,3690947.5353386556,545407.0843387939,272703.54216939694,TRUE
TCD,2021,Chad_Barh el Ghazel_Barh El Gazel,0.4980461337520076,0.9952998806015119,0.9976291875531726,404735.7646570435,9,FALSE,10,550923.8819940706,4241871.4173327265,550923.8819940706,275461.9409970353,TRUE
TCD,2021,Chad_Guéra_Barh Signaka,0.6465072922899552,0.9952343591866794,0.9983152200033005,276559.9371711263,10,FALSE,11,376451.718615625,4618323.135948352,376451.718615625,188225.8593078125,TRUE
TCD,2021,Chad_Guéra_Mangalmé,0.6458984105451878,0.9952252861436661,0.9983096678071681,149382.36099696215,11,FALSE,12,203338.36890254123,4821661.504850892,203338.36890254123,101669.18445127062,TRUE
TCD,2021,Chad_Guéra_Bitkine,0.6452707425244809,0.994966766124451,0.9981956828618122,264338.18617785757,12,FALSE,13,359815.5448698183,5181477.049720711,359815.5448698183,179907.77243490916,TRUE
NER,2021,Niger_Tillabéry_Filingué,0.5362126162711341,0.9947649968713344,0.9975621925027381,879774.3606389582,2,FALSE,14,1197543.554009297,6379020.603730008,1197543.554009297,598771.7770046485,TRUE
TCD,2021,Chad_Guéra_Guéra,0.6437002843695545,0.9946512426461265,0.9980387895245326,162674.05382117545,13,FALSE,15,221430.9410160862,6600451.544746093,221430.9410160862,110715.4705080431,TRUE
TCD,2021,Chad_Mandoul_Mandoul Oriental,0.6840579256935796,0.9944939478521584,0.9982584530213954,402141.24294789514,14,FALSE,16,547392.2346904696,7147843.779436563,547392.2346904696,273696.1173452348,TRUE
TCD,2021,Chad_Mandoul_Mandoul Occidental,0.6815823924445332,0.9943932844395391,0.9982078626897196,223959.3576655011,15,FALSE,17,304852.1270131079,7452695.906449672,304852.1270131079,152426.06350655394,TRUE
TCD,2021,Chad_Wadi Fira_Biltine,0.8970082345250415,0.9940541142955178,0.9993860533505541,247497.08093422448,16,FALSE,18,336891.53397655074,7789587.440426222,336891.53397655074,168445.76698827537,TRUE
