cntry_code,year,district,wat,san,wash,pop,index,skip,id,vacc_pop_coverage,vacc_pop_cumsum,vacc_used,fvp,fullDistrict_target
COD,2029,Democratic Republic of the Congo_Équateur_Tshuapa,0.8982572799285836,0.9104783578261659,0.9894638286868508,1854189.3801873156,1,FALSE,1,2523911.4021726428,2523911.4021726428,2523911.4021726428,1261955.7010863214,TRUE
COG,2029,Republic of Congo_Plateaux_Lékana,0.46102108519657575,0.9802805182486567,0.9893880097303505,37982.06723569806,5,FALSE,2,51700.9608611726,2575612.3630338153,51700.9608611726,25850.4804305863,TRUE
COG,2029,Republic of Congo_Plateaux_Abala,0.45714662693930147,0.9808218914385288,0.9893849775936351,81417.918454471,6,FALSE,3,110825.57958974096,2686437.942623556,110825.57958974096,55412.78979487048,TRUE
AGO,2029,Angola_Uíge_Buengas,0.8875357941720411,0.905495089482179,0.9893697736689139,61238.626866468,14,FALSE,4,83357.64957625869,2769795.592199815,83357.64957625869,41678.82478812934,TRUE
AGO,2029,Angola_Moxico_Cameia,0.8403148188041413,0.9318326827509088,0.989116832984088,114846.9505315135,15,FALSE,5,156328.97645113335,2926124.5686509483,156328.97645113335,78164.48822556667,TRUE
AGO,2029,Angola_Moxico_Luchazes,0.8362779128238221,0.9337546869453316,0.9890560715725487,67069.39651603898,16,FALSE,6,91294.45805938552,3017419.026710334,91294.45805938552,45647.22902969276,TRUE
AGO,2029,Angola_Lunda Norte_Caungula,0.8478115890276766,0.9277163301029521,0.9889977151637421,135098.27877608192,17,FALSE,7,183894.96232709795,3201313.989037432,183894.96232709795,91947.48116354898,TRUE
AGO,2029,Angola_Moxico_Lumbala-Nguimbo,0.8274476517358799,0.9345296649321955,0.9886958976150383,11946.610085665661,18,FALSE,8,16261.653601681288,3217575.642639113,16261.653601681288,8130.826800840644,TRUE
NER,2029,Niger_Agadez_Bilma,0.5191090766418556,0.9763596589758718,0.9885820233635094,43896.6590905733,17,FALSE,9,59751.86762464949,3277327.5102637624,59751.86762464949,29875.933812324743,TRUE
AGO,2029,Angola_Benguela_Cubal,0.699751702569219,0.9608440258376666,0.9882376480343705,412524.29590808315,19,FALSE,10,561525.5837623609,3838853.0940261236,561525.5837623609,280762.7918811804,TRUE
MDG,2029,Madagascar_Toliary_Menabe,0.5746321990603614,0.9749735922994596,0.9882365443687419,985760.7914797179,10,FALSE,11,1341811.6444928872,5180664.738519011,1341811.6444928872,670905.8222464436,TRUE
NER,2029,Niger_Tillabéry_Kollo,0.517570846153528,0.978822770949031,0.9881510308554189,989735.337949894,18,FALSE,12,1347221.7731786254,6527886.511697636,1347221.7731786254,673610.8865893127,TRUE
NER,2029,Niger_Diffa_N'Guigmi,0.35291406422353805,0.9814835050327994,0.9880100274610407,168150.90740317517,19,FALSE,13,228886.00108241165,6756772.512780048,228886.00108241165,114443.00054120582,TRUE
COG,2029,Republic of Congo_Plateaux_Djambala,0.45549359131263145,0.978600089292464,0.9877900603126795,69859.96952731485,7,FALSE,14,95092.96921310753,6851865.481993156,95092.96921310753,47546.484606553764,TRUE
SOM,2029,Somalia_Galguduud_Dhuusamareeb,0.9317620309976095,0.8209450152519999,0.9877717921798539,187722.98775093842,13,FALSE,15,255527.3988176141,7107392.880810769,255527.3988176141,127763.69940880705,TRUE
