scenario,measure,year,median,mean,ci_lower,ci_upper,alloc_strategy
allDistrict_who030718_v2,cases,2018,155965.1373736271,156003.6523360092,154075.57883551353,158662.176540738,allDistrict
allDistrict_who030718_v2,cases,2019,315469.0166616513,315545.9589395553,311642.09294437774,320924.9592644975,allDistrict
allDistrict_who030718_v2,cases,2020,478695.9070233052,478811.10840952164,472881.2725799358,486975.76597612246,allDistrict
allDistrict_who030718_v2,cases,2021,645875.6050102538,646028.7921375936,638019.7834368462,657048.2975373672,allDistrict
allDistrict_who030718_v2,cases,2022,817289.6408486901,817480.4064783257,807335.3509281509,831428.84640008735,allDistrict
allDistrict_who030718_v2,cases,2023,993346.2811089631,993574.0162622867,981230.8001887415,1010532.5405708775,allDistrict
allDistrict_who030718_v2,cases,2024,1174194.5172012108,1174458.5418808046,1159852.9790949593,1194510.9495619156,allDistrict
allDistrict_who030718_v2,cases,2025,1359987.8052712576,1360287.3651409436,1343353.1317492288,1383520.1855180713,allDistrict
allDistrict_who030718_v2,cases,2026,1550884.2062557356,1551218.4683661745,1531887.03521703,1577721.044991776,allDistrict
allDistrict_who030718_v2,cases,2027,1747046.5304716728,1747414.5791877937,1725615.1420042068,1777279.156301157,allDistrict
allDistrict_who030718_v2,cases,2028,1948642.486989061,1949043.3194347094,1924702.7268826952,1982365.131136173,allDistrict
allDistrict_who030718_v2,cases,2029,2155844.834384544,2156277.356411187,2129320.0365307187,2193154.718436759,allDistrict
allDistrict_who030718_v2,cases,2030,2368824.7554751863,2369294.561820233,2339635.1718775453,2409828.9672531676,allDistrict
allDistrict_who030718_v2,cases,2031,2590464.9904274205,2590972.7646023803,2558492.969017302,2635315.329783077,allDistrict
allDistrict_who030718_v2,cases,2032,2820728.93183038,2821273.556112572,2785857.0313056777,2869574.8952946863,allDistrict
allDistrict_who030718_v2,cases,2033,3059504.5549651254,3060085.102886005,3021616.4221533905,3112494.0713310437,allDistrict
allDistrict_who030718_v2,cases,2034,3306594.88781803,3307210.682977527,3265576.368589335,3363872.920459795,allDistrict
allDistrict_who030718_v2,cases,2035,3561735.198827952,3562385.8623775835,3517475.220259303,3623442.6326973517,allDistrict
allDistrict_who030718_v2,cases_cf,2018,156990.30655965395,157028.2881428084,155087.62563293867,159704.29539925646,allDistrict
allDistrict_who030718_v2,cases_cf,2019,318512.28202542337,318587.63077762676,314646.36528378853,324018.54225616495,allDistrict
allDistrict_who030718_v2,cases_cf,2020,484699.053094294,484811.089792765,478807.4201521016,493078.1723971166,allDistrict
allDistrict_who030718_v2,cases_cf,2021,655687.7321026756,655835.709293737,647705.9154998197,667022.6720653353,allDistrict
allDistrict_who030718_v2,cases_cf,2022,831619.5392543757,831802.6376687739,821481.0212635951,845995.7059619576,allDistrict
allDistrict_who030718_v2,cases_cf,2023,1012639.9283109909,1012857.2536577894,1000276.076034738,1030145.2460572321,allDistrict
allDistrict_who030718_v2,cases_cf,2024,1198898.7156558158,1199149.294450664,1184238.7129504702,1219623.7021479916,allDistrict
allDistrict_who030718_v2,cases_cf,2025,1390550.2133865403,1390832.989616239,1373520.9919993884,1414588.058208133,allDistrict
allDistrict_who030718_v2,cases_cf,2026,1587753.366927485,1588067.1977573163,1568279.534341074,1615200.011677191,allDistrict
allDistrict_who030718_v2,cases_cf,2027,1790671.897320488,1791015.5490049645,1768675.6625111275,1821626.1184824223,allDistrict
allDistrict_who030718_v2,cases_cf,2028,1999474.448443628,1999846.5917514763,1974875.5451158418,2034037.942449987,allDistrict
allDistrict_who030718_v2,cases_cf,2029,2214334.735712976,2214733.941883201,2187050.3444604203,2252612.2070992687,allDistrict
allDistrict_who030718_v2,cases_cf,2030,2435428.5658256905,2435856.4397990857,2405376.3695854326,2477530.9565743697,allDistrict
allDistrict_who030718_v2,cases_cf,2031,2662936.2161439583,2663398.31011138,2630024.9503544476,2708981.716347921,allDistrict
allDistrict_who030718_v2,cases_cf,2032,2897052.845427072,2897549.326240151,2861191.1691327007,2947157.6623320435,allDistrict
allDistrict_who030718_v2,cases_cf,2033,3137973.950098701,3138504.9814716564,3099067.875654121,3192257.796029497,allDistrict
allDistrict_who030718_v2,cases_cf,2034,3385900.923090092,3386466.665650745,3343853.4665057096,3444487.1227491754,allDistrict
allDistrict_who030718_v2,cases_cf,2035,3641041.234100014,3641641.8450508015,3595752.318175677,3704056.8349867323,allDistrict
allDistrict_who030718_v2,casesAverted,2018,1025.1691860268188,1024.6358067992044,1012.043899645035,1042.118858518466,allDistrict
allDistrict_who030718_v2,casesAverted,2019,3043.2653637721046,3041.6718380714715,3004.263822877496,3093.5829916674465,allDistrict
allDistrict_who030718_v2,casesAverted,2020,6003.146070988822,5999.981383243307,5926.130988853074,6102.406420994173,allDistrict
allDistrict_who030718_v2,casesAverted,2021,9812.127092421733,9806.917156143396,9686.105531298934,9974.37452796815,allDistrict
allDistrict_who030718_v2,casesAverted,2022,14329.898405685695,14322.231190448201,14145.632483125892,14566.859561870135,allDistrict
allDistrict_who030718_v2,casesAverted,2023,19293.64720202773,19283.2373955027,19045.22620376047,19612.705486354735,allDistrict
allDistrict_who030718_v2,casesAverted,2024,24704.198454604753,24690.752569859174,24385.672063996288,25112.75258607568,allDistrict
