scenario,measure,year,median,mean,ci_lower,ci_upper,alloc_strategy
allDistrict_who030718_v2,cases,2018,122654.98159707918,122710.82701616318,121191.85836987643,124801.28624753888,allDistrict
allDistrict_who030718_v2,cases,2019,247005.66391460312,247118.52732723384,244056.33477933274,251329.61341053364,allDistrict
allDistrict_who030718_v2,cases,2020,373246.28281752765,373417.277720075,368785.09653939673,379782.52513276186,allDistrict
allDistrict_who030718_v2,cases,2021,501657.49825804227,501887.6337546047,495654.3080806295,510445.4197665827,allDistrict
allDistrict_who030718_v2,cases,2022,632618.8571074096,632908.9853447026,625037.262674684,643704.2206085675,allDistrict
allDistrict_who030718_v2,cases,2023,766754.7057043208,767105.3926770998,757551.2498836091,780193.7005291473,allDistrict
allDistrict_who030718_v2,cases,2024,904181.6314241347,904593.4157472774,893311.1725790161,920032.4822956839,allDistrict
allDistrict_who030718_v2,cases,2025,1045018.1495873556,1045493.2326068769,1032435.495112962,1063342.87303769,allDistrict
allDistrict_who030718_v2,cases,2026,1189386.9021270692,1189928.7425158396,1175046.3461144026,1210250.9681701951,allDistrict
allDistrict_who030718_v2,cases,2027,1337417.4881951544,1338027.6742595914,1321269.6623458385,1360886.7625680463,allDistrict
allDistrict_who030718_v2,cases,2028,1489241.5551068238,1489921.6984985603,1471235.2474450443,1515384.2645882962,allDistrict
allDistrict_who030718_v2,cases,2029,1644994.805852715,1645746.5426273448,1625076.8320572465,1673881.6130203165,allDistrict
allDistrict_who030718_v2,cases,2030,1804817.1219220571,1805642.1123109153,1782932.301787211,1836521.2013887544,allDistrict
allDistrict_who030718_v2,cases,2031,1974119.208339349,1975015.755448423,1950140.9329105706,2008803.4710597242,allDistrict
allDistrict_who030718_v2,cases,2032,2152570.422733075,2153537.15482971,2126376.084201379,2190392.5715436377,allDistrict
allDistrict_who030718_v2,cases,2033,2339703.003471804,2340738.9660562538,2311175.7994432766,2380813.2723122784,allDistrict
allDistrict_who030718_v2,cases,2034,2534894.246731406,2535999.0069955736,2503925.222434436,2579432.8407545188,allDistrict
allDistrict_who030718_v2,cases,2035,2790034.557593379,2791174.186375001,2755824.073761187,2839002.5526148602,allDistrict
allDistrict_who030718_v2,cases_cf,2018,156990.30655965395,157028.2881428084,155087.62563293867,159704.29539925646,allDistrict
allDistrict_who030718_v2,cases_cf,2019,318512.28202542337,318587.63077762676,314646.36528378853,324018.54225616495,allDistrict
allDistrict_who030718_v2,cases_cf,2020,484699.053094294,484811.089792765,478807.4201521016,493078.1723971166,allDistrict
allDistrict_who030718_v2,cases_cf,2021,655687.7321026756,655835.709293737,647705.9154998197,667022.6720653353,allDistrict
allDistrict_who030718_v2,cases_cf,2022,831619.5392543757,831802.6376687739,821481.0212635951,845995.7059619576,allDistrict
allDistrict_who030718_v2,cases_cf,2023,1012639.9283109909,1012857.2536577894,1000276.076034738,1030145.2460572321,allDistrict
allDistrict_who030718_v2,cases_cf,2024,1198898.7156558158,1199149.294450664,1184238.7129504702,1219623.7021479916,allDistrict
allDistrict_who030718_v2,cases_cf,2025,1390550.2133865403,1390832.989616239,1373520.9919993884,1414588.058208133,allDistrict
allDistrict_who030718_v2,cases_cf,2026,1587753.366927485,1588067.1977573163,1568279.534341074,1615200.011677191,allDistrict
allDistrict_who030718_v2,cases_cf,2027,1790671.897320488,1791015.5490049645,1768675.6625111275,1821626.1184824223,allDistrict
allDistrict_who030718_v2,cases_cf,2028,1999474.448443628,1999846.5917514763,1974875.5451158418,2034037.942449987,allDistrict
allDistrict_who030718_v2,cases_cf,2029,2214334.735712976,2214733.941883201,2187050.3444604203,2252612.2070992687,allDistrict
allDistrict_who030718_v2,cases_cf,2030,2435428.5658256905,2435856.4397990857,2405376.3695854326,2477530.9565743697,allDistrict
allDistrict_who030718_v2,cases_cf,2031,2662936.2161439583,2663398.31011138,2630024.9503544476,2708981.716347921,allDistrict
allDistrict_who030718_v2,cases_cf,2032,2897052.845427072,2897549.326240151,2861191.1691327007,2947157.6623320435,allDistrict
allDistrict_who030718_v2,cases_cf,2033,3137973.950098701,3138504.9814716564,3099067.875654121,3192257.796029497,allDistrict
allDistrict_who030718_v2,cases_cf,2034,3385900.923090092,3386466.665650745,3343853.4665057096,3444487.1227491754,allDistrict
allDistrict_who030718_v2,cases_cf,2035,3641041.234100014,3641641.8450508015,3595752.318175677,3704056.8349867323,allDistrict
allDistrict_who030718_v2,casesAverted,2018,34335.324962574756,34317.46112664522,33895.72800728753,34903.00915171757,allDistrict
allDistrict_who030718_v2,casesAverted,2019,71506.6181108203,71469.10345039294,70589.93624146358,72688.92884563128,allDistrict
allDistrict_who030718_v2,casesAverted,2020,111452.7702767663,111393.81207268998,110022.16032564294,113295.6472643547,allDistrict
allDistrict_who030718_v2,casesAverted,2021,154030.23384463333,153948.0755391323,152050.5460897992,156577.25229875257,allDistrict
allDistrict_who030718_v2,casesAverted,2022,199000.6821469661,198893.6523240713,196439.67197591008,202291.48535339005,allDistrict
allDistrict_who030718_v2,casesAverted,2023,245885.22260667008,245751.8609806897,242716.63448165203,249951.54552808488,allDistrict
allDistrict_who030718_v2,casesAverted,2024,294717.08423168096,294555.8787033864,290913.8447099851,299591.2198523076,allDistrict
allDistrict_who030718_v2,casesAverted,2025,345530.3714707877,345339.75700936205,341064.48538873845,351245.1851704432,allDistrict
allDistrict_who030718_v2,casesAverted,2026,398360.0975828161,398138.45524147665,393203.33493463066,404949.0435069958,allDistrict
allDistrict_who030718_v2,casesAverted,2027,453242.21967001853,452987.87474537315,447365.7347372079,460739.35591437586,allDistrict
allDistrict_who030718_v2,casesAverted,2028,510213.67273165094,509924.8932529161,503587.98540809005,518653.6778616907,allDistrict
allDistrict_who030718_v2,casesAverted,2029,569312.4035281041,568987.3992558558,561907.3848308659,578730.5940789523,allDistrict
allDistrict_who030718_v2,casesAverted,2030,630577.4071748711,630214.3274881702,622362.2604978879,641009.7551856153,allDistrict
allDistrict_who030718_v2,casesAverted,2031,688782.2874215969,688382.5546629571,679795.4347288841,700178.2452881966,allDistrict
allDistrict_who030718_v2,casesAverted,2032,744447.4549273751,744012.171410441,734720.4536423474,756765.0907884056,allDistrict
allDistrict_who030718_v2,casesAverted,2033,798236.1598231136,797766.0154154027,787791.7943958173,811444.523717218,allDistrict
allDistrict_who030718_v2,casesAverted,2034,850972.4941499442,850467.6586551712,839822.6222001475,865054.2819946564,allDistrict
allDistrict_who030718_v2,casesAverted,2035,850972.4940029006,850467.6586758004,839822.6219590369,865054.2823718723,allDistrict
allDistrict_who030718_v2,dalysAverted,2018,31402.782366268017,31359.866397560043,31140.012358587923,31639.388341368685,allDistrict
allDistrict_who030718_v2,dalysAverted,2019,65389.27676800323,65299.988366546626,64842.58403681134,65882.73155871718,allDistrict
allDistrict_who030718_v2,dalysAverted,2020,101902.31374246835,101763.28271568067,101049.83327510658,102672.52392043576,allDistrict
allDistrict_who030718_v2,dalysAverted,2021,141564.10634233785,141393.16523770432,140419.55465560738,142657.30179508653,allDistrict
allDistrict_who030718_v2,dalysAverted,2022,183441.9315341541,183239.2688306791,181986.75976692836,184888.25385268554,allDistrict
allDistrict_who030718_v2,dalysAverted,2023,227088.2832418481,226854.25956295745,225309.49656902874,228906.1837428434,allDistrict
allDistrict_who030718_v2,dalysAverted,2024,272536.6373098137,272267.9397473404,270422.8339113091,274741.3234866092,allDistrict
allDistrict_who030718_v2,dalysAverted,2025,319813.80854224914,319510.88838835893,317343.35062403785,322424.6940559878,allDistrict
allDistrict_who030718_v2,dalysAverted,2026,373390.17786665855,373072.6981885738,370515.825648531,376586.4905893989,allDistrict
allDistrict_who030718_v2,dalysAverted,2027,429034.58434366673,428704.22149442905,425740.86831733154,432843.04786923184,allDistrict
allDistrict_who030718_v2,dalysAverted,2028,486771.3554335055,486441.92094843084,483054.67902970733,491229.5043788914,allDistrict
allDistrict_who030718_v2,dalysAverted,2029,546660.5055244607,546323.2471260176,542494.2619425638,551787.2020878807,allDistrict
allDistrict_who030718_v2,dalysAverted,2030,608721.5193548715,608386.6730232151,604095.7971630433,614560.2537740931,allDistrict
allDistrict_who030718_v2,dalysAverted,2031,675922.9496079537,675610.566474713,670761.5520209369,682632.8239448805,allDistrict
allDistrict_who030718_v2,dalysAverted,2032,740203.5504050122,739887.6285670499,734538.0935573907,747723.5969091655,allDistrict
allDistrict_who030718_v2,dalysAverted,2033,802299.7208836339,801983.8072842801,796103.6374050392,810608.5253741642,allDistrict
allDistrict_who030718_v2,dalysAverted,2034,863167.1828633314,862850.6674369362,856448.2097181831,872251.1900510498,allDistrict
allDistrict_who030718_v2,dalysAverted,2035,863167.1826681546,862850.6674652797,856448.2096669041,872251.1899741462,allDistrict
allDistrict_who030718_v2,deathsAverted,2018,1428.6881544129878,1430.6991404583696,1417.6353604122237,1452.132417616985,allDistrict
allDistrict_who030718_v2,deathsAverted,2019,2975.0861421146365,2979.261660565817,2951.9952992678473,3023.9519583128827,allDistrict
allDistrict_who030718_v2,deathsAverted,2020,4636.601279497883,4643.100448327867,4600.50874368754,4712.839738266707,allDistrict
allDistrict_who030718_v2,deathsAverted,2021,6407.221564194122,6416.191194203968,6357.215592639785,6512.688486786063,allDistrict
allDistrict_who030718_v2,deathsAverted,2022,8276.986876893794,8288.559204266758,8212.224599521474,8413.381436743752,allDistrict
allDistrict_who030718_v2,deathsAverted,2023,10225.92729776834,10240.205934917902,10145.70959683666,10394.626789917493,allDistrict
allDistrict_who030718_v2,deathsAverted,2024,12255.385050966204,12272.474993184023,12158.9960376854,12457.791400435495,allDistrict
allDistrict_who030718_v2,deathsAverted,2025,14366.737846808825,14386.744903497925,14253.443847704306,14604.283590774507,allDistrict
allDistrict_who030718_v2,deathsAverted,2026,16561.41499542286,16584.430442378245,16430.44981749303,16835.53852586061,allDistrict
allDistrict_who030718_v2,deathsAverted,2027,18840.855730546282,18866.98400864658,18691.44618325707,19152.782239117947,allDistrict
allDistrict_who030718_v2,deathsAverted,2028,21206.550193954936,21235.89699196554,21037.904133238168,21557.727040606485,allDistrict
allDistrict_who030718_v2,deathsAverted,2029,23660.028892472124,23692.701141676327,23471.334787453015,24051.930101182465,allDistrict
allDistrict_who030718_v2,deathsAverted,2030,26202.86403658572,26238.96997730626,25993.26046385134,26636.9910856821,allDistrict
allDistrict_who030718_v2,deathsAverted,2031,28618.152096280217,28657.507761126068,28388.452751459554,29092.403798686904,allDistrict
allDistrict_who030718_v2,deathsAverted,2032,30927.490087777725,30969.940823830202,30678.453123973748,31440.123831625875,allDistrict
allDistrict_who030718_v2,deathsAverted,2033,33158.398261239716,33203.82664379528,32890.553918413985,33708.12854223219,allDistrict
allDistrict_who030718_v2,deathsAverted,2034,35345.065156476434,35393.39981418909,35058.65890258033,35931.1745700297,allDistrict
allDistrict_who030718_v2,deathsAverted,2035,35345.0651622176,35393.39981534601,35058.65890874907,35931.174588521164,allDistrict
hrDistrict2_who030718_v2,cases,2018,136585.08112374585,137056.36162257128,135661.64188408907,139836.5140986812,hrDistrict2
hrDistrict2_who030718_v2,cases,2019,261228.6310955251,261779.70723554655,259384.33573698677,265848.3216917697,hrDistrict2
hrDistrict2_who030718_v2,cases,2020,376287.33196786314,376359.1558488779,372796.802778296,381070.7137976285,hrDistrict2
hrDistrict2_who030718_v2,cases,2021,488961.8918431273,488899.75160158885,484339.9143859031,494545.4374042525,hrDistrict2
hrDistrict2_who030718_v2,cases,2022,602398.8521581577,602406.1537470255,596881.9166568251,608900.7842875046,hrDistrict2
hrDistrict2_who030718_v2,cases,2023,719486.7806633383,719595.1710432079,712858.8654235913,726647.5145309727,hrDistrict2
hrDistrict2_who030718_v2,cases,2024,836941.496704191,837320.8006015414,829608.3636481009,845373.8111358213,hrDistrict2
hrDistrict2_who030718_v2,cases,2025,954982.797035662,955609.0306052619,947362.0815178681,964239.242896715,hrDistrict2
hrDistrict2_who030718_v2,cases,2026,1076398.9569811942,1077468.1261165228,1068261.8155459438,1087367.8594305,hrDistrict2
