scenario,measure,year,median,mean,ci_lower,ci_upper,alloc_strategy
allDistrict_who030718_v2,cases,2018,156146.1824591054,156184.60322895757,154254.3065050805,158846.21494201382,allDistrict
allDistrict_who030718_v2,cases,2019,315993.9909743633,316070.6583246337,312160.3406550609,321458.61356787756,allDistrict
allDistrict_who030718_v2,cases,2020,479833.4954165757,479948.09774208104,474004.27228490735,488132.1639758916,allDistrict
allDistrict_who030718_v2,cases,2021,648145.8879635145,648297.8746756751,640260.933322293,659356.1196564134,allDistrict
allDistrict_who030718_v2,cases,2022,821126.121693345,821314.8476574704,811122.5585831238,835328.7655094564,allDistrict
allDistrict_who030718_v2,cases,2023,998919.0443293506,999143.7944971393,986731.9064147781,1016197.4564232049,allDistrict
allDistrict_who030718_v2,cases,2024,1181673.8590207594,1181933.8442592977,1167236.0225801202,1202113.9777705553,allDistrict
allDistrict_who030718_v2,cases,2025,1369544.2581415176,1369838.6119024206,1352786.3732678741,1393234.6824699962,allDistrict
allDistrict_who030718_v2,cases,2026,1562688.5615753504,1563016.3356094456,1543538.9800796525,1589720.6309609404,allDistrict
allDistrict_who030718_v2,cases,2027,1761269.8596353403,1761630.0199092347,1739654.5608552527,1791737.7368647056,allDistrict
allDistrict_who030718_v2,cases,2028,1965456.1608642973,1965847.5829942676,1941298.6749448495,1999456.9169919724,allDistrict
allDistrict_who030718_v2,cases,2029,2175420.541304554,2175842.0065159667,2148641.871385363,2213054.2437128513,allDistrict
allDistrict_who030718_v2,cases,2030,2391335.8346001087,2391791.493119147,2361855.2055324805,2432711.1064062905,allDistrict
allDistrict_who030718_v2,cases,2031,2615621.936148505,2616113.8757174355,2583324.259277014,2660887.051944032,allDistrict
allDistrict_who030718_v2,cases,2032,2848321.537965831,2848848.771830834,2813092.0645224783,2897622.5364758866,allDistrict
allDistrict_who030718_v2,cases,2033,3089049.589143966,3089611.4973506653,3050778.2566688377,3142526.423187441,allDistrict
allDistrict_who030718_v2,cases,2034,3336976.5621353565,3337573.181529754,3295563.8475204255,3394755.7499071197,allDistrict
allDistrict_who030718_v2,cases,2035,3592116.8731452785,3592748.3609298104,3547462.6991903936,3654325.4621446766,allDistrict
allDistrict_who030718_v2,cases_cf,2018,156990.30655965395,157028.2881428084,155087.62563293867,159704.29539925646,allDistrict
allDistrict_who030718_v2,cases_cf,2019,318512.28202542337,318587.63077762676,314646.36528378853,324018.54225616495,allDistrict
allDistrict_who030718_v2,cases_cf,2020,484699.053094294,484811.089792765,478807.4201521016,493078.1723971166,allDistrict
allDistrict_who030718_v2,cases_cf,2021,655687.7321026756,655835.709293737,647705.9154998197,667022.6720653353,allDistrict
allDistrict_who030718_v2,cases_cf,2022,831619.5392543757,831802.6376687739,821481.0212635951,845995.7059619576,allDistrict
allDistrict_who030718_v2,cases_cf,2023,1012639.9283109909,1012857.2536577894,1000276.076034738,1030145.2460572321,allDistrict
allDistrict_who030718_v2,cases_cf,2024,1198898.7156558158,1199149.294450664,1184238.7129504702,1219623.7021479916,allDistrict
allDistrict_who030718_v2,cases_cf,2025,1390550.2133865403,1390832.989616239,1373520.9919993884,1414588.058208133,allDistrict
allDistrict_who030718_v2,cases_cf,2026,1587753.366927485,1588067.1977573163,1568279.534341074,1615200.011677191,allDistrict
allDistrict_who030718_v2,cases_cf,2027,1790671.897320488,1791015.5490049645,1768675.6625111275,1821626.1184824223,allDistrict
allDistrict_who030718_v2,cases_cf,2028,1999474.448443628,1999846.5917514763,1974875.5451158418,2034037.942449987,allDistrict
allDistrict_who030718_v2,cases_cf,2029,2214334.735712976,2214733.941883201,2187050.3444604203,2252612.2070992687,allDistrict
allDistrict_who030718_v2,cases_cf,2030,2435428.5658256905,2435856.4397990857,2405376.3695854326,2477530.9565743697,allDistrict
